Hips,下半身
Spine,Spine
Chest,上半身
UpperChest,UpperChest
Breast_L,Breast_L
Breast2_L,Breast2_L
Breast_R,Breast_R
Breast2_R,Breast2_R
Neck,首
Head,頭
Eye_L,左目
Eye_R,右目
Shoulder_L,肩.L
UpperArm_L,腕.L
LowerArm_L,ひじ.L
Hand_L,手首.L
ThumbProximal_L,親指1.L
ThumbIntermediate_L,親指2.L
ThumbDistal_L,親指3.L
IndexProximal_L,人指1.L
IndexIntermediate_L,人指2.L
IndexDistal_L,人指3.L
MiddleProximal_L,中指1.L
MiddleIntermediate_L,中指2.L
MiddleDistal_L,中指3.L
RingProximal_L,薬指1.L
RingIntermediate_L,薬指2.L
RingDistal_L,薬指3.L
LittleProximal_L,小指1.L
LittleIntermediate_L,小指2.L
LittleDistal_L,小指3.L
Shoulder_R,肩.R
UpperArm_R,腕.R
LowerArm_R,ひじ.R
Hand_R,手首.R
ThumbProximal_R,親指1.R
ThumbIntermediate_R,親指2.R
ThumbDistal_R,親指3.R
IndexProximal_R,人指1.R
IndexIntermediate_R,人指2.R
IndexDistal_R,人指3.R
MiddleProximal_R,中指1.R
MiddleIntermediate_R,中指2.R
MiddleDistal_R,中指3.R
RingProximal_R,薬指1.R
RingIntermediate_R,薬指2.R
RingDistal_R,薬指3.R
LittleProximal_R,小指1.R
LittleIntermediate_R,小指2.R
LittleDistal_R,小指3.R
UpperLeg_L,足.L
LowerLeg_L,ひざ.L
Foot_L,足首.L
Toe_L,つま先.L
UpperLeg_R,足.R
LowerLeg_R,ひざ.R
Foot_R,足首.R
Toe_R,つま先.R
